°¡ b0a1
°¢ b0a2
°£ b0a3
°¥ b0a5
°¨ b0a8
°© b0a9
°¬ b0ac
°­ b0ad
°® b0ae
°° b0b0
°³ b0b3
°´ b0b4
°Å b0c5
°Ç b0c7
°É b0c9
°Ë b0cb
°Ì b0cc
°Í b0cd
°Ô b0d4
°Ú b0da
°Ü b0dc
°Ý b0dd
°ß b0df
°á b0e1
°å b0e5
°æ b0e6
°è b0e8
°í b0ed
°î b0ee
°ï b0ef
°ð b0f0
°ñ b0f1
°÷ b0f7
°ø b0f8
°ú b0fa
°ü b0fc
±¤ b1a4
±« b1ab
±³ b1b3
±¸ b1b8
±¹ b1b9
±º b1ba
±¼ b1bc
±Ã b1c3
±Ç b1c7
±Í b1cd
±Ô b1d4
±Õ b1d5
±× b1d7
±Ø b1d8
±Ù b1d9
±Û b1db
±Ý b1dd
±Þ b1de
±â b1e2
±ä b1e4
±æ b1e6
±è b1e8
±í b1ed
±î b1ee
±ú b1fa
²¨ b2a8
²² b2b2
²À b2c0
²É b2c9
²Ù b2d9
²Þ b2de
²ô b2f4
²ø b2f8
³¡ b3a1
³¢ b3a2
³ª b3aa
³« b3ab
³­ b3ad
³¯ b3af
³² b3b2
³µ b3b5
³· b3b7
³» b3bb
³½ b3bd
³Â b3c2
³Ä b3c4
³É b3c9
³Ê b3ca
³Î b3ce
³Ð b3d0
³Ñ b3d1
³Ö b3d6
³× b3d7
³à b3e0
³â b3e2
³ä b3e4
³ë b3eb
³í b3ed
³î b3ee
³ð b3f0
³ó b3f3
³ô b3f4
³õ b3f5
³ú b3fa
´© b4a9
´« b4ab
´º b4ba
´À b4c0
´Â b4c2
´Ã b4c3
´É b4c9
´Ï b4cf
´Ñ b4d1
´Ô b4d4
´Ù b4d9
´Ú b4da
´Ü b4dc
´Þ b4de
´ã b4e3
´ä b4e4
´ç b4e7
´ë b4eb
´õ b4f5
´ö b4f6
´ø b4f8
µ¥ b5a5
µµ b5b5
µ¶ b5b6
µ· b5b7
µ¹ b5b9
µ¿ b5bf
µÅ b5c5
µÆ b5c6
µÇ b5c7
µÈ b5c8
µÉ b5c9
µÎ b5ce
µÐ b5d0
µÑ b5d1
µÕ b5d5
µÚ b5da
µå b5e5
µæ b5e6
µç b5e7
µè b5e8
µé b5e9
µí b5ed
µî b5ee
µð b5f0
µû b5fb
µþ b5fe
¶¥ b6a5
¶§ b6a7
¶° b6b0
¶² b6b2
